Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M10_Max750_Err5%_neg_Seed2%_CfgA,10,750,0.05,neg,0,2,0.02,A,0.0392,25.3,10.4,0.4
M10_Max750_Err5%_neg_Seed2%_CfgB,10,750,0.05,neg,0,2,0.02,B,0.068,25,10.4,0.4
M10_Max750_Err5%_neg_Seed2%_CfgC,10,750,0.05,neg,0,2,0.02,C,0.1808,25.2,10,0
M10_Max750_Err5%_neg_Seed5%_CfgA,10,750,0.05,neg,0,2,0.05,A,0.0385,25.3,10.5,0.5
M10_Max750_Err5%_neg_Seed5%_CfgB,10,750,0.05,neg,0,2,0.05,B,0.0654,25,10,0
M10_Max750_Err5%_both_Seed0%_CfgA,10,750,0.05,both,2,2,0.0,A,0.0613,25.9,12.5,2.5
M10_Max750_Err5%_neg_Seed5%_CfgC,10,750,0.05,neg,0,2,0.05,C,0.1886,25.1,10,0
M10_Max750_Err5%_both_Seed0%_CfgB,10,750,0.05,both,2,2,0.0,B,0.1023,25,12,2
M10_Max750_Err5%_both_Seed2%_CfgA,10,750,0.05,both,2,2,0.02,A,0.0609,25.5,11.9,1.9
M10_Max750_Err5%_both_Seed0%_CfgC,10,750,0.05,both,2,2,0.0,C,0.2941,25.2,12.2,2.2
M10_Max750_Err5%_both_Seed2%_CfgB,10,750,0.05,both,2,2,0.02,B,0.1107,25,12,2
M10_Max750_Err5%_both_Seed5%_CfgA,10,750,0.05,both,2,2,0.05,A,0.0743,25.1,12.4,2.4
M10_Max750_Err5%_both_Seed2%_CfgC,10,750,0.05,both,2,2,0.02,C,0.2784,25,11.9,1.9
M10_Max750_Err5%_both_Seed5%_CfgB,10,750,0.05,both,2,2,0.05,B,0.1233,25.4,12.3,2.3
M10_Max1000_Clean_Seed0%_CfgA,10,1000,0.0,none,0,0,0.0,A,0.0425,25.3,10,0
M10_Max1000_Clean_Seed0%_CfgB,10,1000,0.0,none,0,0,0.0,B,0.067,25,10,0
M10_Max750_Err5%_both_Seed5%_CfgC,10,750,0.05,both,2,2,0.05,C,0.3017,25.3,12.3,2.3
M10_Max1000_Clean_Seed0%_CfgC,10,1000,0.0,none,0,0,0.0,C,0.1886,25,10,0
M10_Max1000_Clean_Seed2%_CfgA,10,1000,0.0,none,0,0,0.02,A,0.0382,25,10,0
M10_Max1000_Clean_Seed2%_CfgB,10,1000,0.0,none,0,0,0.02,B,0.073,25,10,0
M10_Max1000_Clean_Seed2%_CfgC,10,1000,0.0,none,0,0,0.02,C,0.1979,25,10,0
M10_Max1000_Clean_Seed5%_CfgA,10,1000,0.0,none,0,0,0.05,A,0.0411,25,10,0
M10_Max1000_Clean_Seed5%_CfgB,10,1000,0.0,none,0,0,0.05,B,0.0679,25,10,0
M10_Max1000_Err2%_pos_Seed0%_CfgA,10,1000,0.02,pos,1,0,0.0,A,0.0517,25.2,11,1
M10_Max1000_Clean_Seed5%_CfgC,10,1000,0.0,none,0,0,0.05,C,0.1858,25,10,0
M10_Max1000_Err2%_pos_Seed0%_CfgB,10,1000,0.02,pos,1,0,0.0,B,0.0948,25,11,1
M10_Max1000_Err2%_pos_Seed0%_CfgC,10,1000,0.02,pos,1,0,0.0,C,0.2305,25,11,1
M10_Max1000_Err2%_pos_Seed2%_CfgA,10,1000,0.02,pos,1,0,0.02,A,0.0509,25.1,11,1
M10_Max1000_Err2%_pos_Seed2%_CfgB,10,1000,0.02,pos,1,0,0.02,B,0.086,25,11,1
M10_Max1000_Err2%_pos_Seed2%_CfgC,10,1000,0.02,pos,1,0,0.02,C,0.223,25,11,1
M10_Max1000_Err2%_pos_Seed5%_CfgA,10,1000,0.02,pos,1,0,0.05,A,0.05,25,11,1
M10_Max1000_Err2%_pos_Seed5%_CfgB,10,1000,0.02,pos,1,0,0.05,B,0.0935,25,11,1
M10_Max1000_Err2%_neg_Seed0%_CfgA,10,1000,0.02,neg,0,1,0.0,A,0.0466,25.5,10,0
M10_Max1000_Err2%_pos_Seed5%_CfgC,10,1000,0.02,pos,1,0,0.05,C,0.24,25,11,1
M10_Max1000_Err2%_neg_Seed0%_CfgB,10,1000,0.02,neg,0,1,0.0,B,0.0817,25.1,10,0
