Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M40_Max500_Err2%_neg_Seed2%_CfgB,40,500,0.02,neg,0,16,0.02,B,19.2056,36.4,54.2,14.2
M40_Max500_Err2%_neg_Seed0%_CfgC,40,500,0.02,neg,0,16,0.0,C,59.5465,35.5,61.7,21.7
M40_Max500_Err2%_both_Seed0%_CfgA,40,500,0.02,both,16,16,0.0,A,11.7589,37.1,61.4,21.4
M40_Max500_Err2%_both_Seed0%_CfgB,40,500,0.02,both,16,16,0.0,B,25.8847,39.9,62,22
M40_Max500_Err2%_neg_Seed2%_CfgC,40,500,0.02,neg,0,16,0.02,C,49.6848,37,48.9,8.9
M40_Max500_Err2%_both_Seed2%_CfgA,40,500,0.02,both,16,16,0.02,A,14.0097,43.4,61.5,21.5
M40_Max500_Err2%_both_Seed0%_CfgC,40,500,0.02,both,16,16,0.0,C,52.0193,30.7,62.6,22.6
M40_Max500_Err2%_both_Seed2%_CfgB,40,500,0.02,both,16,16,0.02,B,26.0205,41.9,60.9,20.9
M40_Max500_Err5%_pos_Seed0%_CfgA,40,500,0.05,pos,39,0,0.0,A,14.2911,41.1,63.3,23.3
M40_Max500_Err2%_both_Seed2%_CfgC,40,500,0.02,both,16,16,0.02,C,49.557,29.8,61.8,21.8
M40_Max500_Err5%_pos_Seed0%_CfgB,40,500,0.05,pos,39,0,0.0,B,28.802,43.8,62,22
M40_Max500_Err5%_pos_Seed2%_CfgA,40,500,0.05,pos,39,0,0.02,A,13.4149,38.5,62.9,22.9
M40_Max500_Err5%_pos_Seed0%_CfgC,40,500,0.05,pos,39,0,0.0,C,51.8019,29.2,63.8,23.8
M40_Max500_Err5%_pos_Seed2%_CfgB,40,500,0.05,pos,39,0,0.02,B,24.5734,37.9,62.1,22.1
M40_Max500_Err5%_neg_Seed0%_CfgA,40,500,0.05,neg,0,39,0.0,A,11.7227,37.1,61.3,21.3
M40_Max500_Err5%_pos_Seed2%_CfgC,40,500,0.05,pos,39,0,0.02,C,54.1547,30.8,63.6,23.6
M40_Max500_Err5%_neg_Seed0%_CfgB,40,500,0.05,neg,0,39,0.0,B,24.5871,40.9,60.1,20.1
M40_Max500_Err5%_neg_Seed2%_CfgA,40,500,0.05,neg,0,39,0.02,A,10.9864,38.9,56.5,16.5
M40_Max500_Err5%_neg_Seed0%_CfgC,40,500,0.05,neg,0,39,0.0,C,49.2035,30.7,61.1,21.1
M40_Max500_Err5%_neg_Seed2%_CfgB,40,500,0.05,neg,0,39,0.02,B,27.362,56,50.9,10.9
M40_Max500_Err5%_both_Seed0%_CfgA,40,500,0.05,both,39,39,0.0,A,12.8306,37.4,62.9,22.9
M40_Max500_Err5%_neg_Seed2%_CfgC,40,500,0.05,neg,0,39,0.02,C,52.8747,33.8,59.7,19.7
M40_Max500_Err5%_both_Seed0%_CfgB,40,500,0.05,both,39,39,0.0,B,30.0213,45.6,62.1,22.1
M40_Max500_Err5%_both_Seed2%_CfgA,40,500,0.05,both,39,39,0.02,A,12.2652,36.7,62.1,22.1
M40_Max500_Err5%_both_Seed2%_CfgB,40,500,0.05,both,39,39,0.02,B,23.2123,36.6,62,22
M40_Max500_Err5%_both_Seed0%_CfgC,40,500,0.05,both,39,39,0.0,C,57.9824,33.8,62.3,22.3
M40_Max750_Clean_Seed0%_CfgA,40,750,0.0,none,0,0,0.0,A,25.0072,46.6,69.2,29.2
M40_Max500_Err5%_both_Seed2%_CfgC,40,500,0.05,both,39,39,0.02,C,52.0033,30.2,62.9,22.9
M40_Max750_Clean_Seed0%_CfgB,40,750,0.0,none,0,0,0.0,B,49.5488,51.3,65.6,25.6
M40_Max750_Clean_Seed2%_CfgA,40,750,0.0,none,0,0,0.02,A,10.1324,27,48.1,8.1
M40_Max750_Clean_Seed2%_CfgB,40,750,0.0,none,0,0,0.02,B,14.2252,25.2,43,3
M40_Max750_Clean_Seed0%_CfgC,40,750,0.0,none,0,0,0.0,C,93.1173,32.6,69.3,29.3
M40_Max750_Clean_Seed2%_CfgC,40,750,0.0,none,0,0,0.02,C,53.9743,25.6,42.6,2.6
M40_Max750_Err2%_pos_Seed0%_CfgA,40,750,0.02,pos,16,0,0.0,A,20.7946,36.7,70.7,30.7
M40_Max750_Err2%_pos_Seed0%_CfgB,40,750,0.02,pos,16,0,0.0,B,48.4088,46.5,68.7,28.7
M40_Max750_Err2%_pos_Seed2%_CfgA,40,750,0.02,pos,16,0,0.02,A,19.4351,36.5,69.3,29.3
M40_Max750_Err2%_pos_Seed0%_CfgC,40,750,0.02,pos,16,0,0.0,C,86.6082,29.4,69.8,29.8
M40_Max750_Err2%_pos_Seed2%_CfgB,40,750,0.02,pos,16,0,0.02,B,40.7271,45.2,63.1,23.1
M40_Max750_Err2%_neg_Seed0%_CfgA,40,750,0.02,neg,0,16,0.0,A,19.2933,37,68.8,28.8
M40_Max750_Err2%_pos_Seed2%_CfgC,40,750,0.02,pos,16,0,0.02,C,83.2061,29.6,67.5,27.5
M40_Max750_Err2%_neg_Seed0%_CfgB,40,750,0.02,neg,0,16,0.0,B,46.6752,48.6,66.4,26.4
M40_Max750_Err2%_neg_Seed2%_CfgA,40,750,0.02,neg,0,16,0.02,A,13.5022,31.4,56.3,16.3
M40_Max750_Err2%_neg_Seed0%_CfgC,40,750,0.02,neg,0,16,0.0,C,87.7875,31.9,68.4,28.4
M40_Max750_Err2%_neg_Seed2%_CfgB,40,750,0.02,neg,0,16,0.02,B,35.8888,42.6,56.1,16.1
M40_Max750_Err2%_both_Seed0%_CfgA,40,750,0.02,both,16,16,0.0,A,18.2887,33.9,69.9,29.9
M40_Max750_Err2%_neg_Seed2%_CfgC,40,750,0.02,neg,0,16,0.02,C,72.6328,31.1,54.6,14.6
M40_Max750_Err2%_both_Seed0%_CfgB,40,750,0.02,both,16,16,0.0,B,49.8907,51.1,67.2,27.2
M40_Max750_Err2%_both_Seed0%_CfgC,40,750,0.02,both,16,16,0.0,C,89.9665,31.1,69.8,29.8
M40_Max750_Err2%_both_Seed2%_CfgA,40,750,0.02,both,16,16,0.02,A,20.738,39.2,67.8,27.8
M40_Max750_Err2%_both_Seed2%_CfgB,40,750,0.02,both,16,16,0.02,B,42.9723,43.4,67.2,27.2
M40_Max750_Err5%_pos_Seed0%_CfgA,40,750,0.05,pos,39,0,0.0,A,21.3397,39.1,70.4,30.4
M40_Max750_Err2%_both_Seed2%_CfgC,40,750,0.02,both,16,16,0.02,C,89.2287,32.1,67.3,27.3
M40_Max750_Err5%_pos_Seed0%_CfgB,40,750,0.05,pos,39,0,0.0,B,45.177,40.8,70.9,30.9
M40_Max750_Err5%_pos_Seed2%_CfgA,40,750,0.05,pos,39,0,0.02,A,21.873,39,70.2,30.2
M40_Max750_Err5%_pos_Seed0%_CfgC,40,750,0.05,pos,39,0,0.0,C,93.7708,31.4,71.1,31.1
M40_Max750_Err5%_pos_Seed2%_CfgB,40,750,0.05,pos,39,0,0.02,B,46.0635,44.2,69,29
M40_Max750_Err5%_neg_Seed0%_CfgA,40,750,0.05,neg,0,39,0.0,A,19.1983,38.6,67.7,27.7
M40_Max750_Err5%_pos_Seed2%_CfgC,40,750,0.05,pos,39,0,0.02,C,94.4533,31,70.3,30.3
M40_Max750_Err5%_neg_Seed0%_CfgB,40,750,0.05,neg,0,39,0.0,B,43.1527,45.3,67.1,27.1
M40_Max750_Err5%_neg_Seed2%_CfgA,40,750,0.05,neg,0,39,0.02,A,17.1653,35.5,64.6,24.6
M40_Max750_Err5%_neg_Seed0%_CfgC,40,750,0.05,neg,0,39,0.0,C,89.7038,31.9,68.9,28.9
M40_Max750_Err5%_neg_Seed2%_CfgB,40,750,0.05,neg,0,39,0.02,B,35.785,43.1,57.6,17.6
M40_Max750_Err5%_both_Seed0%_CfgA,40,750,0.05,both,39,39,0.0,A,19.0452,35.1,69.7,29.7
M40_Max750_Err5%_neg_Seed2%_CfgC,40,750,0.05,neg,0,39,0.02,C,82.0144,33.6,62.3,22.3
M40_Max750_Err5%_both_Seed0%_CfgB,40,750,0.05,both,39,39,0.0,B,40.4145,38.5,69.9,29.9
M40_Max750_Err5%_both_Seed0%_CfgC,40,750,0.05,both,39,39,0.0,C,77.3547,25.9,70.6,30.6
M40_Max750_Err5%_both_Seed2%_CfgA,40,750,0.05,both,39,39,0.02,A,23.6889,43.5,69.4,29.4
M40_Max750_Err5%_both_Seed2%_CfgB,40,750,0.05,both,39,39,0.02,B,52.6667,49.9,69,29
M40_Max750_Err5%_both_Seed2%_CfgC,40,750,0.05,both,39,39,0.02,C,78.5769,28,69.7,29.7
M40_Max1000_Clean_Seed0%_CfgA,40,1000,0.0,none,0,0,0.0,A,23.0649,32.2,74.2,34.2
M40_Max1000_Clean_Seed0%_CfgB,40,1000,0.0,none,0,0,0.0,B,56.0073,39.8,72.1,32.1
M40_Max1000_Clean_Seed2%_CfgA,40,1000,0.0,none,0,0,0.02,A,10.1995,25,40,0
